,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Feelings,spotify:track:2dyyOwe0KxTZTJjjXDeLmU,194773,True,V,56
1,blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,anxiety (with FRND),spotify:track:7AhlMDKQelsNkWvFeZvmtC,191036,True,cybersex,59
2,NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,Outcast,spotify:track:0we7ShV1o6cPTFjxOADPbC,325720,False,Perception,58
3,Pentakill,spotify:artist:2qcGTB5s2t9o2w9SrI719s,Mortal Reminder,spotify:track:2hMng3Va9y65zNzKefarHh,243500,False,II: Grasp of the Undying,55
4,fun.,spotify:artist:5nCi3BB41mBaMH9gfr6Su0,We Are Young (feat. Janelle MonÃ¡e),spotify:track:7a86XRg84qjasly9f6bPSD,250626,False,Some Nights,73
5,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,"Writing's On The Wall - From ""Spectre"" Soundtrack",spotify:track:1PWnAEQcbwQwK759otUbta,278987,False,Writing's On The Wall,65
6,Chris Holsten,spotify:artist:63Dir7MyAhpGcHU3rOh3uF,Love Like This,spotify:track:2MDp6d6schO8itk2pe1Xs7,165584,True,Love Like This,31
7,Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,197436,False,I met you when I was 18. (the playlist),80
8,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,SAD!,spotify:track:3ee8Jmje8o58CHK66QrVC2,166605,True,?,81
9,Adam Oh,spotify:artist:2iwGr6BtRjn629qLx9w7FQ,Trapped in My Mind,spotify:track:56H3K8a3gbWeX0cg4GjSzC,216052,True,Trapped in My Mind,52
10,AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,Next Up Forever,spotify:track:6QRhIcvwsEbbgPkYpU1Fzy,256546,True,Neotheater,39
11,Beach Bunny,spotify:artist:2vnB6tuQMaQpORiRdvXF9H,Cloud 9,spotify:track:6vFsBXYczYsP0H3lgunZOm,147350,False,Honeymoon,77
12,Redbone,spotify:artist:0w7HLMvZOHatWVbAKee1zF,Come and Get Your Love - Single Version,spotify:track:7GVUmCP00eSsqc4tzj1sDD,205933,False,Come and Get Your Love,74
13,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Warriors,spotify:track:1sWeSMifj6Z6kZyI6z3bRc,171040,False,Smoke + Mirrors (Deluxe),71
14,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,West Coast,spotify:track:4TaY35s44Bf6OQnRK4R8Y5,253520,False,The Love Collection,55
15,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,Pretty Girl,spotify:track:0KyAGiNGUytG5JLxJu4F6l,178352,False,Pretty Girl,75
16,Kavinsky,spotify:artist:0UF7XLthtbSF2Eur7559oV,Nightcall,spotify:track:0U0ldCRmgCqhVvD6ksG63j,258413,False,Nightcall,70
17,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,Goodbyes (feat. Young Thug),spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,174853,True,Hollywood's Bleeding,76
18,The Turtles,spotify:artist:2VIoWte1HPDbZ2WqHd2La7,Happy Together,spotify:track:1JO1xLtVc8mWhIoE3YaCL0,176293,False,Happy Together,74
19,Electric Light Orchestra,spotify:artist:7jefIIksOi1EazgRTfW2Pk,Mr. Blue Sky,spotify:track:2RlgNHKcydI9sayD2Df2xp,303373,False,Out of the Blue,78
20,They Might Be Giants,spotify:artist:6zB02lwP6L6ZH32nggQiJT,Istanbul (Not Constantinople),spotify:track:2k5ecKUWUplNFbFewUzVyf,187333,False,Severe Tire Damage,19
21,The Living Tombstone,spotify:artist:0I6yADrmeyvw66g7yjkqIF,"Jump Up, Super Star!",spotify:track:2qpU2fqllsKxsz7VTVzD0K,255000,False,"Jump Up, Super Star!",38
22,Mike Shinoda,spotify:artist:6xBZgSMsnKVmaAxzWEwMSD,Make It Up As I Go (feat. K.Flay),spotify:track:2rPV3oe3O97fSJZxcunKV8,209706,True,Post Traumatic (Deluxe Version),47
23,Adam Jensen,spotify:artist:7ymrIsmp4vE7vAtcS12J4D,Street Fight,spotify:track:36pwoWh6xqOShF8X6AZmzQ,191180,False,Street Fight,47
24,The Score,spotify:artist:2q3GG88dVwuQPF4FmySr9I,Legend,spotify:track:3SWqGa1J0M7hSBUDM0KePD,189120,False,ATLAS,70
25,Fitz and The Tantrums,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,The Walker,spotify:track:46EOWTszdIfllYY4o6rjkY,233133,False,More Than Just a Dream,52
26,Rainbow Kitten Surprise,spotify:artist:4hz8tIajF2INpgM0qzPJz2,It's Called: Freefall,spotify:track:474uVhyGgK5MtY9gMcDgGl,152293,True,"How to: Friend, Love, Freefall",74
27,Unlike Pluto,spotify:artist:4zjO8Jhi2pciJJzd8Q6rga,WHY,spotify:track:4GXTv45iCvAiZScO7YyvC0,175081,False,"Fake Smiles, Real Memories",27
28,Egypt Central,spotify:artist:1d5wNTZ8WZYE5WuXXjug9w,White Rabbit,spotify:track:4QhSscYz3TPLEwD6lMezvG,217786,False,White Rabbit,56
29,Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",spotify:track:4dASQiO1Eoo3RJvt74FtXB,243490,True,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),74
30,Our Last Night,spotify:artist:00YTqRClk82aMchQQpYMd5,Habits (Stay High) - Rock,spotify:track:4s0O3I5ZpVYfbuZKvNVfRD,198260,False,Habits (Stay High) [Rock],56
31,Rag'n'Bone Man,spotify:artist:4f9iBmdUOhQWeP7dcAn1pf,Human,spotify:track:58zsLZPvfflaiIbNWoA22O,200186,False,Human (Deluxe),75
32,Global Stage Orchestra,spotify:artist:62I0y9J0fVzOgPWJLNCZs7,Spider-Man 2,spotify:track:5EJvRcXFT9so4WAQlhtxpY,204560,False,Music from The Award-Winners and Nominees Vol.1,0
33,Finding Hope,spotify:artist:0QGDb8TBWIT06W4BoyAggg,Love,spotify:track:5L3VoLOjwPv7hPknnmYaeT,256097,False,Love,56
34,Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Call Me Sir (feat. Cam & Travie McCoy),spotify:track:5lzb11BOouSBDXxhTnTtpv,216280,False,Call Me Sir (feat. Cam & Travie McCoy),42
35,NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,Motivated,spotify:track:5qGizZYD1lbhGFdTR1yoFv,261200,False,Mansion,51
36,ç‰©èªžã‚·ãƒªãƒ¼ã‚º,spotify:artist:0NT8fqhPoKJrd038u1Qumz,ã‚ªãƒ¬ãƒ³ã‚¸ãƒŸãƒ³ãƒˆ,spotify:track:5wUWbDQRB3KR1JKT9oEMbX,275666,False,Tukimonogatari Gekihanongakushu (Original Soundtrack),35
37,Skyclad,spotify:artist:3CgDRO3wUoner5eZocDuQN,The Parliament Of Fools,spotify:track:5wiyIwoseuoAjIzYkImHgu,190013,False,A Semblance Of Normality,33
38,Blackway,spotify:artist:1QvK8bFc2WREH4LDlJcJbi,What's Up Danger (with Black Caviar),spotify:track:5zsHmE2gO3RefVsPyw2e3T,222306,False,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),70
39,Alec Benjamin,spotify:artist:5IH6FPUwQTxPSXurCrcIov,Boy In The Bubble,spotify:track:60cYr5uuMoxvyuIx45rGEW,181705,False,Narrated For You,68
